id,vehicleId,source,destination,cargoType,temperatureC,riskScore,etaMinutes
S301,INT-9001,Mumbai,Dubai,Electronics,25,30,720
S302,INT-9002,Chennai,Singapore,Pharmaceuticals,4,34,840
S303,INT-9003,Kolkata,Bangkok,Textiles,29,28,900
S304,INT-9004,Delhi,London,FMCG,18,35,1440
S305,INT-9005,Mumbai,Rotterdam,Perishable,3,42,2880
S306,INT-9006,Bangalore,San Francisco,Electronics,20,38,4320
S307,INT-9007,Hyderabad,Dubai,Pharmaceuticals,5,33,780
S308,INT-9008,Ahmedabad,Nairobi,Textiles,27,31,1560
S309,INT-9009,Chennai,Sydney,Electronics,22,40,5000
S310,INT-9010,Delhi,New York,FMCG,19,45,6000
S311,INT-9011,Mumbai,Singapore,Perishable,6,36,960
S312,INT-9012,Kolkata,Dubai,Textiles,30,34,1100
S313,INT-9013,Bangalore,London,Electronics,17,37,3200
S314,INT-9014,Chennai,Tokyo,Pharmaceuticals,2,39,4200
S315,INT-9015,Delhi,Paris,FMCG,16,33,2800
S316,INT-9016,Mumbai,New York,Perishable,5,41,6100
S317,INT-9017,Hyderabad,Singapore,Electronics,21,29,880
S318,INT-9018,Ahmedabad,Dubai,Textiles,28,32,700
S319,INT-9019,Chennai,Melbourne,Pharmaceuticals,3,38,5200
S320,INT-9020,Kolkata,London,FMCG,17,36,3500
S321,INT-9021,Bangalore,Frankfurt,Electronics,19,34,3000
S322,INT-9022,Delhi,Toronto,Pharmaceuticals,1,43,6200
S323,INT-9023,Mumbai,Singapore,Textiles,27,30,950
S324,INT-9024,Chennai,Dubai,FMCG,23,28,820
S325,INT-9025,Hyderabad,Paris,Electronics,18,35,2900
S326,INT-9026,Ahmedabad,Sydney,Perishable,4,40,5100
S327,INT-9027,Kolkata,Nairobi,Textiles,31,33,1800
S328,INT-9028,Bangalore,Tokyo,Electronics,20,37,4100
S329,INT-9029,Delhi,Amsterdam,Pharmaceuticals,2,42,3100
S330,INT-9030,Mumbai,Los Angeles,FMCG,21,45,6500

